seeks
perseverance
attack
sacrifice
humane
destiny
discover
part
recognize
meaning
friendship
seeing
things
kindness
ritual
unite
mandate
remorse
friends
hsia
develop
sincerity
regarded
humanity
question
distinctions
class
recompense
attention
evil
desire
neighborhood
trunk
bar
point
guided
get
toward
partial
fully
capable
culture
wishes
steeps
ten
right
lose
child
roots
understand
guard
education
respect
claim
thousand
pretending
goodness
beauty
wishing
virtue
truly
orders
revolution
rituals
perfect
expiation
knows
gentleness
carried
social
infinite
rushes
please
hui
profit
conjoined
upright
outrun
slay
heart
music
depends
subdue
mind
moral
imagine
word
truth
dislike
family
filial
jan
iu
serve
present
court
even
result
follows
ordinary
gives
really
position
unless
deeds
ashamed
morning
evening
content
discreet
minister
teachings
want
primary
heavens
incapacities
grieves
drink
fulfillment
emperor
remarked
pond
shen
without
blocked
weapons
unforeseen
provide
pay
beforehand
planned
embark
affair
brightly
correct
affected
wished
ch
upon
art
thoughts
five
tardy
sentencing
respond
gladness
servant
intercourse
minds
ready
prove
lest
prince
though
killing
animals
stream
ceasing
incomparable
cannot
pretty
apart
alike
generation
comes
uang
grieve
called
shape
son
forces
wrongs
tends
leniently
forgive
deals
see
morally
adjusted
kuei
demand
banish
gathers
appointment
imitates
corrects
return
propriety
invites
father
universal
start
